t_end,t_start,Driver's Exit Time,Driver's Return Time,Notes,Packages?,Queue,TNC Sign,Passenger Access Door,Trunk Access,Zone,week,right_censor,left_censor,Dwell_time,Conflict_long,Conflict_short,Site,Bound,event_type,event_type_TRB,loc_type,loc_type_short,Num_individuals,veh_type,veh_type_short,curb_use_type,Taxi_x,Paid_x,Unauth_x,Unknown_x,0-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-200,Volume,Mean_SPD,Condition,Temp_(F),Taxi_y,Paid_y,Unauth_y,Unknown_y,All_occup,PLZ_occup,garage_occup,period
2018-12-03 08:31:45,2018-12-03 08:00:00,-,-,,No,,Yes,Back,No,27,1,1,1,31.75,None,None,BTW Thomas & John St,SB,Passenger load,Passenger load,Curb,Curb,2.0,TNC,TNC & Taxi,Charter bus / shuttle bus / taxi,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.25,Fog,38,1,1,0,0,2,0,0.3184859626355785,Morning
2018-12-03 08:16:56,2018-12-03 08:00:00,,,,No,0.0,-,,No,2,1,1,1,16.933333333333334,None,None,BTW Thomas & Harrison St,SB,Un-parked,Un-parked,Curb,Curb,1.0,Large passenger vehicle,Passenger vehicle,Paid parking,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.416666666666666,Fog,38,0,1,0,0,1,0,0.3184859626355785,Morning
2018-12-03 09:09:02,2018-12-03 08:00:00,-,-,,No,,-,Front,No,23,1,1,1,69.03333333333333,None,None,BTW Thomas & John St,SB,Un-parked,Un-parked,Curb,Curb,1.0,Passenger vehicle,Passenger vehicle,Paid parking,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.25,Fog,38,1,1,0,0,2,0,0.3184859626355785,Morning
2018-12-03 08:00:28,2018-12-03 08:00:11,-,-,,No,0.0,Yes,Back,No,18,1,1,1,0.2833333333333333,veh-ped,veh-ped,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Half and Half,Curb,1.0,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.833333333333334,Fog,38,0,0,1,0,1,0,0.3184859626355785,Morning
2018-12-03 08:04:09,2018-12-03 08:01:36,-,-,,No,0.0,-,Front,No,17,1,1,1,2.55,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Curb,Curb,1.0,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.833333333333334,Fog,38,0,0,1,0,1,0,0.3184859626355785,Morning
2018-12-03 08:03:16,2018-12-03 08:02:59,-,-,,No,0.0,No,Front,No,16,1,1,1,0.2833333333333333,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Curb,Curb,1.0,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.833333333333334,Fog,38,0,0,2,0,2,0,0.3184859626355785,Morning
2018-12-03 08:09:46,2018-12-03 08:03:02,08:03:50,08:09:31,,Yes,0.0,-,Front,Yes,18,1,1,1,6.733333333333333,None,None,BTW Thomas & Harrison St,NB,Parked,Parked,Curb,Curb,1.0,Truck/Large passenger van,,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.833333333333334,Fog,38,0,0,3,0,3,0,0.3184859626355785,Morning
2018-12-03 08:04:22,2018-12-03 08:03:14,-,-,,No,,-,Front,Yes,25,1,1,1,1.1333333333333333,None,None,BTW Thomas & John St,SB,Passenger unload,Passenger unload,Curb,Curb,1.0,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.25,Fog,38,1,1,1,0,3,0,0.3184859626355785,Morning
2018-12-03 08:03:39,2018-12-03 08:03:18,,,,No,0.0,-,Front,No,3,1,1,1,0.35,None,None,BTW Thomas & Harrison St,SB,Passenger unload,Passenger unload,Half and Half,Curb,1.0,Passenger vehicle,Passenger vehicle,Unauthorized,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.416666666666666,Fog,38,0,1,1,0,2,0,0.3184859626355785,Morning
2018-12-03 08:04:59,2018-12-03 08:04:50,-,-,,No,0.0,No,Back,No,16,1,1,1,0.15,None,None,BTW Thomas & Harrison St,NB,Passenger unload,Passenger unload,Street,Street,1.0,TNC,TNC & Taxi,Unauthorized,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.833333333333334,Fog,38,0,0,2,0,2,0,0.3184859626355785,Morning
