Zone,veh_type,event_type,count
1,Large passenger vehicle,Parked,2
1,Passenger vehicle,Passenger load,1
1,Passenger vehicle,Passenger unload,1
1,TNC,Passenger load,9
1,TNC,Passenger unload,2
2,Large passenger vehicle,Parked,74
2,Large passenger vehicle,Passenger load,4
2,Large passenger vehicle,Un-parked,27
2,Passenger vehicle,Parked,82
2,Passenger vehicle,Passenger load,89
2,Passenger vehicle,Passenger unload,89
2,Passenger vehicle,Un-parked,7
2,TNC,Parked,39
2,TNC,Passenger load,135
2,TNC,Passenger load/unload,1
2,TNC,Passenger unload,132
2,TNC,Un-parked,5
2,Taxi,Parked,3
2,Taxi,Passenger unload,2
2,Truck,Parked,4
2,Truck,Un-parked,1
3,Large passenger vehicle,Parked,2
3,Large passenger vehicle,Passenger unload,4
3,Passenger vehicle,Parked,7
3,Passenger vehicle,Passenger load,38
3,Passenger vehicle,Passenger unload,88
3,TNC,Parked,14
3,TNC,Passenger load,213
3,TNC,Passenger load/unload,2
3,TNC,Passenger unload,205
3,Taxi,Passenger unload,5
3,Truck,Parked,3
4,Large passenger vehicle,Parked,8
4,Large passenger vehicle,Passenger load,1
4,Large passenger vehicle,Passenger unload,1
4,Motorcycle,Parked,1
4,Passenger vehicle,Parked,84
4,Passenger vehicle,Passenger load,112
4,Passenger vehicle,Passenger unload,96
4,Passenger vehicle,Un-parked,9
4,Passenger vehicle,unknown,1
4,TNC,Parked,22
4,TNC,Passenger load,123
4,TNC,Passenger load/unload,1
4,TNC,Passenger unload,146
4,TNC,Un-parked,1
4,TNC,unknown,1
4,Taxi,Parked,3
4,Taxi,Passenger load,1
4,Taxi,Un-parked,1
4,Truck,Parked,11
4,Truck,Passenger load,1
5,Large passenger vehicle,Parked,1
5,Large passenger vehicle,Passenger load,1
5,Passenger vehicle,Parked,28
5,Passenger vehicle,Passenger load,22
5,Passenger vehicle,Passenger unload,19
5,Passenger vehicle,Un-parked,1
5,TNC,Parked,5
5,TNC,Passenger load,21
5,TNC,Passenger unload,9
5,Taxi,Passenger unload,1
5,Truck,Parked,5
5,Truck,Un-parked,1
6,Large passenger vehicle,Parked,4
6,Passenger vehicle,Parked,28
6,Passenger vehicle,Passenger load,29
6,Passenger vehicle,Passenger unload,28
6,Passenger vehicle,Un-parked,1
6,TNC,Parked,16
6,TNC,Passenger load,34
6,TNC,Passenger unload,15
6,Taxi,Parked,1
6,Truck,Parked,1
6,Truck,Passenger unload,1
7,Large passenger vehicle,Parked,1
7,Passenger vehicle,Parked,19
7,Passenger vehicle,Passenger load,32
7,Passenger vehicle,Passenger unload,19
7,Passenger vehicle,Un-parked,2
7,TNC,Parked,7
7,TNC,Passenger load,26
7,TNC,Passenger unload,17
7,Taxi,Passenger unload,1
7,Truck,Parked,4
8,Large passenger vehicle,Parked,3
8,Motorcycle,Parked,1
8,Passenger vehicle,Parked,124
8,Passenger vehicle,Passenger load,61
8,Passenger vehicle,Passenger unload,79
8,Passenger vehicle,Un-parked,5
8,TNC,None,1
8,TNC,Parked,45
8,TNC,Passenger load,59
8,TNC,Passenger unload,50
8,Truck,Parked,17
8,Truck,Un-parked,4
9,Passenger vehicle,Passenger load,3
9,Passenger vehicle,Passenger unload,3
9,TNC,Parked,2
9,TNC,Passenger load,4
9,TNC,Passenger unload,2
10,Large passenger vehicle,Passenger unload,2
10,Passenger vehicle,Passenger unload,10
10,TNC,Passenger load,4
10,TNC,Passenger unload,3
11,Large passenger vehicle,Parked,4
11,Large passenger vehicle,Passenger unload,1
11,Large passenger vehicle,Un-parked,1
11,Passenger vehicle,Parked,18
11,Passenger vehicle,Passenger load,18
11,Passenger vehicle,Passenger unload,9
11,Passenger vehicle,Un-parked,2
11,TNC,Parked,21
11,TNC,Passenger load,32
11,TNC,Passenger unload,8
11,TNC,Un-parked,1
11,Truck,Parked,5
11,Truck,Un-parked,2
11,Truck/Large passenger van,Parked,1
12,Large passenger vehicle,Parked,7
12,Passenger vehicle,Parked,15
12,Passenger vehicle,Passenger load,14
12,Passenger vehicle,Passenger unload,6
12,TNC,Parked,10
12,TNC,Passenger load,20
12,TNC,Passenger unload,9
12,Taxi,Passenger load,1
12,Truck,Parked,5
12,Truck,Un-parked,1
13,Large passenger vehicle,Parked,3
13,Large passenger vehicle,Passenger load,1
13,Passenger vehicle,Parked,15
13,Passenger vehicle,Passenger load,15
13,Passenger vehicle,Passenger unload,11
13,Passenger vehicle,Un-parked,1
13,TNC,Parked,13
13,TNC,Passenger load,13
13,TNC,Passenger unload,8
13,Truck,Parked,3
13,Truck,Un-parked,1
14,Large passenger vehicle,Parked,2
14,Large passenger vehicle,Un-parked,2
14,Passenger vehicle,Parked,18
14,Passenger vehicle,Passenger load,42
14,Passenger vehicle,Passenger unload,14
14,Passenger vehicle,Un-parked,3
14,TNC,Parked,12
14,TNC,Passenger load,42
14,TNC,Passenger unload,18
14,Taxi,Passenger unload,2
14,Truck,Parked,5
14,Truck,Un-parked,1
15,Motorcycle,Parked,1
15,Passenger vehicle,Parked,1
15,Passenger vehicle,Passenger load,4
15,Passenger vehicle,Passenger load/unload,1
15,Passenger vehicle,Passenger unload,3
15,TNC,Passenger load,8
15,Truck,Parked,2
16,Large passenger vehicle,Passenger unload,1
16,Passenger vehicle,Parked,9
16,Passenger vehicle,Passenger load,88
16,Passenger vehicle,Passenger unload,114
16,Passenger vehicle,Un-parked,1
16,Passenger vehicle,unknown,1
16,TNC,Parked,11
16,TNC,Passenger load,277
16,TNC,Passenger load/unload,2
16,TNC,Passenger unload,234
16,Taxi,Passenger load,1
16,Taxi,Passenger unload,8
17,Large passenger vehicle,Passenger load/unload,1
17,Large passenger vehicle,Passenger unload,2
17,Passenger vehicle,Parked,15
17,Passenger vehicle,Passenger load,16
17,Passenger vehicle,Passenger unload,28
